start,end,midi,note,velocity,confidence
203.265,203.375,62,D4,77,0.646
203.375,203.455,63,D#4,81,0.676
203.535,203.595,67,G4,75,0.298
203.595,203.905,68,G#4,74,0.751
203.995,204.055,71,B4,74,0.526
204.085,204.155,70,A#4,69,0.551
204.155,204.225,69,A4,48,0.082
204.225,204.435,68,G#4,67,0.562
204.435,204.585,67,G4,65,0.661
204.585,205.705,68,G#4,76,0.918
205.705,205.865,67,G4,76,0.688
205.865,205.955,68,G#4,78,0.922
205.955,206.095,67,G4,62,0.539
206.095,206.335,68,G#4,81,0.942
206.425,206.535,70,A#4,48,0.658
206.645,206.705,61,C#4,73,0.812
206.705,206.925,63,D#4,73,0.699
207.155,207.465,68,G#4,64,0.613
207.465,207.575,71,B4,77,0.701
207.575,207.645,70,A#4,66,0.539
207.735,208.585,68,G#4,72,0.603
208.655,209.125,73,C#5,77,0.777
209.195,209.435,73,C#5,78,0.581
209.435,209.515,71,B4,76,0.312
209.585,209.695,67,G4,65,0.24
209.695,209.785,68,G#4,67,0.103
209.785,209.895,67,G4,62,0.582
210.205,210.355,62,D4,78,0.426
210.435,210.855,67,G4,74,0.602
210.905,211.055,72,C5,73,0.615
211.125,211.385,72,C5,74,0.66
211.385,212.055,70,A#4,76,0.442
212.145,215.615,75,D#5,74,0.908
215.725,216.035,75,D#5,51,0.775
